,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
354,324437,01/01/2008,Terça,18:40:00,MG,381,434,SABARA,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta,Urbano,2008,4,0,0,0,4,0,0,4
249,324235,01/01/2008,Terça,05:30:00,MG,40,689.3,ALFREDO VASCONCELOS,Falta de atenção,Saída de Pista,Com Vítimas Feridas,Amanhecer,Crescente,Ceu Claro,Simples,Reta,Rural,2008,2,0,2,0,0,0,2,1
529,324689,01/01/2008,Terça,22:50:00,MG,381,478.8,BETIM,Outras,Atropelamento de pessoa,Com Vítimas Fatais,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2008,2,1,0,0,1,0,0,1
1087,325510,01/01/2008,Terça,20:40:00,MG,354,744.8,ITAMONTE,Falta de atenção,Atropelamento de pessoa,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Urbano,2008,2,0,0,0,2,0,0,1
983,325382,01/01/2008,Terça,16:40:00,MG,40,661,CARANDAI,Velocidade incompatível,Saída de Pista,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,2008,1,0,0,0,1,0,0,1
976,325371,01/01/2008,Terça,11:00:00,MG,381,436,SABARA,Não guardar distância de segurança,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Curva,Rural,2008,2,0,0,0,2,0,0,2
2154,326798,01/01/2008,Terça,02:30:00,MG,40,532.1,BELO HORIZONTE,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Crescente,Nublado,Dupla,Reta,Urbano,2008,3,0,1,2,0,0,3,1
296,324349,01/01/2008,Terça,16:30:00,MG,381,424,SABARA,Outras,Colisão com objeto móvel,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta,Rural,2008,2,0,0,0,2,0,0,2
329,324398,01/01/2008,Terça,05:30:00,MG,116,520.4,CARATINGA,Falta de atenção,Saída de Pista,Sem Vítimas,Amanhecer,Decrescente,Ceu Claro,Dupla,Curva,Rural,2008,1,0,0,0,1,0,0,1
937,325327,01/01/2008,Terça,07:05:00,MG,267,292.7,BAEPENDI,Dormindo,Saída de Pista,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2008,1,0,0,0,1,0,0,1
629,324884,01/01/2008,Terça,21:30:00,MG,452,224.2,SANTA JULIANA,Falta de atenção,Colisão lateral,Com Vítimas Fatais,Plena noite,Crescente,Ceu Claro,Simples,Curva,Rural,2008,3,1,0,0,2,0,0,2
885,325254,01/01/2008,Terça,02:00:00,MG,116,243.8,TEOFILO OTONI,Outras,Saída de Pista,Com Vítimas Fatais,Plena noite,Crescente,Ceu Claro,Simples,Curva,Rural,2008,1,1,0,0,0,0,0,1
1763,326306,01/01/2008,Terça,16:05:00,MG,381,353,SAO GONCALO DO RIO ABAIXO,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,2008,3,0,0,0,3,0,0,3
